iter	AUC	Logloss
61	0.9624648502	0.1784332596262	0.9626104963	0.1778358956363	0.9626920897	0.1774047464	64	0.9630904554	0.1766507565	65	0.9633115129	0.1759319466	66	0.9634940613	0.1753978067	67	0.9636421374	0.17468768	0.68	0.9639999992	0.17389969	0.69	0.9643392358	0.17307370	0.70	0.9646716255	0.17227971	071	0.9649195562	0.17165572	0.72	0.9652047613	0.17102473	0.73	0.9654084045	0.17053674	0.74	0.9656941558	0.16980875	0.75	0.9657716331	0.1694776	0.76	0.9660456219	0.16883977	0.77	0.9662027217	0.16837878	078	0.9665850109	0.167663579	079	0.9668213217	0.167092980	080	0.9670135586	0.166706481	81	0.9672768772	0.1660454482	82	0.9675444227	0.165399683	083	0.9677669604	0.164825484	084	0.9678708757	0.164455485	085	0.9680877933	0.163941286	086	0.9683868585	0.163330287	087	0.9686569686	0.162673488	088	0.9687318655	0.16237689	0.89	0.9689072502	0.16200290	90	0.9690007962	0.1616871091	91	0.9691296771	0.1612145592	92	0.9692303708	0.160929093	093	0.9693938268	0.16055194	0.94	0.9695045178	0.1602195	0.995	0.9697041162	0.1597196	0.996	0.9698363771	0.159297	0.9697	0.9699763715	0.15898	0.96998	0.9700309412	0.15899	0.96999	0.9701543763	0.158100	0.96100	0.9703314391	0.15101	0.969101	0.970462758	0.157102	0.9102	0.9706885411	0.1569103	0.9103	0.9707989471	0.1566104	0.104	0.9709928464	0.15622105	0.105	0.9711842443	0.15569106	0.106	0.9713577056	0.15529107	0.107	0.9714493518	0.15504108	0.108	0.9716418579	0.154109	0.97109	0.9717757098	0.154110	0.97110	0.9719203901	0111	0.971303111	0.9719991498	0112	0.971423112	0.9721396349	0113	0.971508113	0.9722946055114	0.97163906114	0.9724053915115	0.97169687115	0.972484547	116	0.9717751116	0.9726066522	117	0.9718999117	0.9727942506	118	0.972182118	0.9729959862	119	0.9722384119	0.9731227141	120	0.9723107120	0.9732802968	121	0.9724344121	0.9734533624	122	0.9725799122	0.9736427101	123	0.9727601123	0.973802445124	0.97291560124	0.973901706125	0.97297157125	0.9740039757126	0.97307578126	0.974193869127	0.973232047127	0.974349980128	0.973336173128	0.97447550129	0.973412883129	0.97461081130	0.9734607735130	0.97472555131	0.9736596547131	0.97484232132	0.9737718408132	0.97491963133	0.9738643092133	0.97505087134	0.9740268466134	0.97513233135	0.974139853	135	0.9752319136	0.9742635859	136	0.9753026137	0.9743370779137	0.97539881138	0.9744302562138	0.97547578139	0.9744795821139	0.97555742140	0.9745491779140	0.97562898141	0.97473419141	0.9756986784142	0.97483734142	0.9758478864143	0.9749613143	0.976032667	0144	0.975020144	0.9761384345	0145	0.975065145	0.9762901755	0146	0.97521146	0.9763178483	0.147	0.97537147	0.9764395894	0.148	0.97545148	0.9764897106	0.149	0.97557149	0.9765654466	0150	0.975692150	0.9767338815	0151	0.975801151	0.9767903985	0152	0.975863152	0.9769124879	153	0.9759540153	0.9769456461	154	0.9760119154	0.9770404189	155	0.9760371155	0.9771423712	156	0.9760853156	0.9772333683	157	0.9761171157	0.97731531	0.158	0.97621158	0.9774172306	0.159	0.97634159	0.9774878135	0.160	0.97644160	0.9775544862	0161	0.976466161	0.9776273725	0162	0.976549162	0.9777517099	0163	0.976659163	0.9778181847	0164	0.976756164	0.9778736252	165	0.9768655165	0.977945815	0166	0.976906166	0.9779938149	0167	0.976955167	0.9780494295	0168	0.977067168	0.9781517458	0169	0.977158169	0.9782553366170	0.97721475170	0.9784226396171	0.97727383171	0.9785217739172	0.97736570172	0.9786005336173	0.97746152173	0.9786513672174	0.97754312174	0.9786931296175	0.97764082175	0.9787255201176	0.97771715176	0.9788005753177	0.97777148177	0.978950749	178	0.9778073178	0.979043915	0179	0.977868179	0.9790684532	0180	0.978047180	0.9791717986	181	0.9781665181	0.9792661994	182	0.978207182	0.9793632282	183	0.9783385183	0.9795124837	184	0.9784142184	0.979639924	0185	0.978544185	0.9796744991	0186	0.978615186	0.979729338	0.187	0.97868187	0.9798595646	0.188	0.9787188	0.9799418704	0.1189	0.9787189	0.9799966144	0.1190	0.9788190	0.9800836537	0.1191	0.9789191	0.9802363921	0.1192	0.9790192	0.9803124288	0.1193	0.979193	0.9804336317	0.13194	0.979194	0.9805098188	0.13195	0.979195	0.9805973648	0.13196	0.979196	0.9807144357	0.13197	0.979197	0.9807941136	0.13198	0.979198	0.9808650211	0.1199	0.9796199	0.9809158705	0.1200	0.9797200	0.9810196592	0.1201	0.9798201	0.9811164742	0.1202	0.9798202	0.9812875292	0.1203	0.9800203	0.9813582625	0.204	0.98011204	0.9814639905	0.205	0.98015205	0.9815189085	0.206	0.98025206	0.9816273357	0207	0.9803207	0.9816962009	0.208	0.98050208	0.9817589396	0.209	0.98053209	0.981787578	0.1210	0.9806210	0.9818487177	0.1211	0.9806211	0.9819567016	0.1212	0.9806212	0.9820687224	0.213	0.98078213	0.9821103423	0.214	0.98097214	0.9822050281	0.215	0.9810215	0.9822509699	0.1216	0.9811216	0.9823311703	0.1217	0.981217	0.9823740884	0.12218	0.981218	0.9824052756	0.1219	0.9813219	0.9825058347	0.1220	0.9814220	0.9826416813	0.1221	0.9815221	0.982799644	0.1222	0.9816222	0.9828803825	0.1223	0.9817223	0.9829419338	0.1224	0.9818224	0.9830544612	0.1225	0.9819225	0.9830957804	0226	0.981991226	0.9831439148	0227	0.982048227	0.9832389964	0228	0.982152228	0.9833374499	0229	0.982263229	0.9834284471	0230	0.98242230	0.983498373	0.1231	0.9824231	0.9835812646	0.1232	0.9825232	0.9836740506	0.1233	0.9825233	0.9837467787	0.1234	0.9826234	0.983827359	0.12235	0.982235	0.9838879762	0.12236	0.982236	0.9840207832	0.12237	0.982237	0.9840888569	0.12238	0.983238	0.984142651	0.120239	0.98239	0.9842599911	0.120240	0.98240	0.9843185503	0.120241	0.98241	0.9843842968	0.12242	0.983242	0.9844649879	0.12243	0.983243	0.9845945496	0.11244	0.98244	0.9846555309	0.119245	0.98245	0.9846983699	0.119246	0.98246	0.9847332299	0.119247	0.98247	0.9847805491	0.11248	0.983248	0.9848641689	0.11249	0.983249	0.9849121846	0.11250	0.983250	0.9850674006	0.11251	0.983251	0.9851251366	0.11252	0.984252	0.9851465085	0.1253	0.9841253	0.9852162287	0.254	0.98423254	0.985256408	0.1255	0.9843255	0.9853424816	0.1256	0.9843256	0.9853801121	0.257	0.98449257	0.9854191358	0.258	0.98455258	0.9854702069	0.259	0.98463259	0.985620254	0.1260	0.9846260	0.9856587236	0.1261	0.984261	0.9857342379	0.1262	0.9848262	0.9857822852	0.263	0.98486263	0.9858626755	0.264	0.984264	0.9859388152	0.11265	0.985265	0.9859680394	0.11266	0.985266	0.9860136487	0.11267	0.985267	0.9860768465	0.11268	0.985268	0.9861312738	0.11269	0.985269	0.9862453843	0.11270	0.985270	0.9862997483	0.1271	0.9854271	0.9864011622	0.272	0.98552272	0.9864554946	0273	0.985617273	0.9864899747	0274	0.985708274	0.9865764758	275	0.9857700275	0.9866164018	276	0.985832276	0.9866501695	0277	0.985911277	0.9866912987	278	0.9859435278	0.9868157865	279	0.9859949279	0.9868553959	280	0.9860112280	0.9868656228	281	0.9860548281	0.986899628	282	0.9861128282	0.9869585355	283	0.9861459283	0.9870220023	284	0.986195284	0.987105733	0.285	0.9862285	0.9871503291	0.1286	0.9863286	0.9871963976	0.1287	0.9863287	0.9872895794	0.288	0.98647288	0.987359822	0.1289	0.986289	0.9873967243	0.11290	0.986290	0.9874441542	0.11291	0.986291	0.9874733626	0.11292	0.986292	0.9875252886	0.10293	0.986293	0.9876055839	0.10294	0.986294	0.9876496735	0.1295	0.9867295	0.9877145176	0.1296	0.9868296	0.9877512933	0.297	0.98686297	0.9878065438	0.298	0.98689298	0.9878560001	0.299	0.98698299	0.9879019894	0.300	0.98705300	0.9879201477	0.301	0.98708301	0.9879664853	0302	0.98714302	0.9880469864	0.303	0.98723303	0.9881170074	0.304	0.98729304	0.9881598621	0305	0.987324305	0.9881937565	0306	0.987367306	0.9882322102	0307	0.987421307	0.9882533131	0308	0.987453308	0.9882943631	0309	0.987501309	0.988347983	0.310	0.98756310	0.9884395659	0.311	0.98760311	0.9884761674	0.312	0.98768312	0.9885269535	0.313	0.98777313	0.9885607846	0.314	0.98784314	0.988636663	0.1315	0.9878315	0.9886743568	0.316	0.98793316	0.9887312379	0.317	0.9879317	0.9887689634	0.318	0.98803318	0.9888369896	0319	0.988038319	0.9888947098	0320	0.988105320	0.9889584933	0321	0.98814321	0.9890216752	0322	0.988163322	0.9890727304	0323	0.988201323	0.9890972845	0324	0.988251324	0.9891504136	0325	0.988273325	0.9891993159326	0.988317326	0.9893068881327	0.98837101327	0.9893370305328	0.98839236328	0.989419684329	0.988448391329	0.98946086330	0.9885159835330	0.98951009331	0.9885756415331	0.98958323332	0.9886236425332	0.98959799333	0.9886729684333	0.98964538334	0.9887369959334	0.98966448335	0.9887758793335	0.98967492336	0.9887986415336	0.98975566337	0.988812775337	0.989789198338	0.9888633	0338	0.989839339	0.9889286367	0339	0.989857340	0.9890082492	0340	0.989895341	0.9890354597	341	0.9899331342	0.9890754157	342	0.9899922343	0.9890966794	343	0.9900383344	0.9891313668344	0.99007882345	0.9891725533345	0.99012920346	0.9892211536346	0.99015868347	0.9892697697347	0.99019999348	0.9892966174348	0.99025365349	0.9893309894349	0.99027226350	0.9893665445350	0.9902929351	0.9894399419	351	0.9903452352	0.9894897252352	0.99039676353	0.9895278042	353	0.9904048354	0.9895532638	0354	0.990461355	0.9895819886	0.355	0.99053356	0.9896199886	0.1356	0.9905357	0.9896646296	0.10357	0.990358	0.9896896475	0.102358	0.99359	0.989734257	0.1027359	0.9360	0.9897533122	0.10264360	0.361	0.9897794185	0.102506361	0362	0.9897937573	0.1024402362363	0.9898176552	0.10233664936364	0.9899158812	0.10203470893365	0.9899329489	0.10194466836366	0.9899827481	0.10175513343367	0.9900037278	0.1016503826
368	0.9900130976	0.1015927858
369	0.9900536847	0.1014491375
370	0.9900943663	0.1013271356
371	0.9901086578	0.1012489262
372	0.9901451751	0.1011096092
373	0.9901898634	0.1009787592
374	0.9902010473	0.1009105994
375	0.9902425177	0.1007477928
376	0.9903122081	0.1006041653
377	0.9903297806	0.1004944644
378	0.9903496403	0.1003797298
379	0.9903884291	0.1001985888
380	0.9904528825	0.1000172827
381	0.9904845571	0.09991034013
382	0.990502729	0.09980872979
383	0.9905342143	0.09965380169
384	0.9905811268	0.09945799593
385	0.9905936831	0.09935744617
386	0.9906125963	0.09925299555
387	0.9906461323	0.09908457903
388	0.990662364	0.09900545986
389	0.9906911834	0.09890218245
390	0.9907326381	0.09874461285
391	0.990776238	0.09856091042
392	0.9908056253	0.09846692408
393	0.9908533423	0.09830082899
394	0.9908663402	0.0982362644
395	0.9908852851	0.09811779081
396	0.9909899469	0.09781359506
397	0.9910273949	0.09769431435
398	0.9910769732	0.09742946644
399	0.9911443291	0.09723511962
400	0.9911683374	0.09711343386
401	0.9912231528	0.09691927921
402	0.9912563102	0.09675121118
403	0.9912992002	0.09659716425
404	0.9913493149	0.09638320055
405	0.9913726134	0.09626137942
406	0.9914079161	0.09614381318
407	0.9914223495	0.09605883424
408	0.9914904309	0.09577911965
409	0.9915194555	0.09566768828
410	0.9915638756	0.09549831039
411	0.9915808329	0.09540457837
412	0.9916013867	0.09530311367
413	0.9916350646	0.09519620197
414	0.9916927509	0.0949963075
415	0.9917363666	0.09482248931
416	0.9917823326	0.09467488681
417	0.9918171147	0.09452917933
418	0.991852307	0.09437881753
419	0.9918663934	0.09429084973
420	0.9919158613	0.09407262295
421	0.9919709606	0.0938827035
422	0.9920450993	0.09360184434
423	0.9920685083	0.09349884119
424	0.9921074548	0.09337155075
425	0.9921287657	0.09325965133
426	0.9921637371	0.09309790944
427	0.9922039929	0.09298217553
428	0.9922210764	0.09290730615
429	0.9922437597	0.09280920987
430	0.9922650391	0.09271715294
431	0.9922928017	0.09257371617
432	0.9923023924	0.0925010891
433	0.9923236876	0.0923899581
434	0.9923644324	0.09225729478
435	0.9923917691	0.09216929264
436	0.9924192477	0.092023149
437	0.9924535093	0.09191508966
438	0.992480499	0.09181098499
439	0.9925027406	0.09173426926
440	0.992525976	0.09162360674
441	0.9925481072	0.09153709132
442	0.9925606319	0.09143218314
443	0.9925886627	0.09132848389
444	0.9926159679	0.09122600272
445	0.9926396449	0.09112232156
446	0.9926619024	0.09099364799
447	0.992679459	0.09089755617
448	0.9926861946	0.0908576489
449	0.9926970946	0.09074847228
450	0.9927296999	0.09060381454
451	0.9927729528	0.09041427725
452	0.9927902728	0.0902867512
453	0.9928337623	0.09012227323
454	0.9928541584	0.09004020132
455	0.9928930733	0.08990851947
456	0.9929405853	0.08975740123
457	0.9929812512	0.08959245629
458	0.9929978929	0.08953431316
459	0.9930186518	0.08945264555
460	0.9930616365	0.08931403781
461	0.9930818433	0.08922532633
462	0.9931436308	0.08898686843
463	0.9931743748	0.08884129094
464	0.9931947393	0.08873860132
465	0.9932475829	0.0885400841
466	0.993266086	0.08842389895
467	0.993310727	0.08823328774
468	0.9933203335	0.08817240115
469	0.9933489164	0.08801727726
470	0.9933860173	0.08785451179
471	0.9934024856	0.08779663156
472	0.9934235599	0.08770016662
473	0.9934341444	0.08764034684
474	0.9934700307	0.08744249014
475	0.9934837543	0.08735832557
476	0.9935016107	0.08726541316
477	0.9935638084	0.08697955649
478	0.9935824535	0.08686875903
479	0.9936097113	0.08672887907
480	0.9936340982	0.08662133539
481	0.9936592739	0.08649828554
482	0.9936850489	0.086352539
483	0.9937010755	0.08625469311
484	0.9937341067	0.08611572111
485	0.9937715231	0.08596915406
486	0.9937858934	0.08586852053
487	0.9937952633	0.0857815185
488	0.9938096809	0.08568263446
489	0.9938323169	0.08558178764
490	0.9938695598	0.08544422378
491	0.9938850974	0.08534146664
492	0.9939060929	0.08520458386
493	0.9939276404	0.08508087581
494	0.993978812	0.08479848895
495	0.9940001545	0.08471097835
496	0.994021986	0.08460947013
497	0.9940268286	0.08454638877
498	0.9940454422	0.08443749955
499	0.9940625257	0.08433596865
500	0.9940650022	0.08430642899
501	0.994095131	0.08420111833
502	0.9941211426	0.08405713004
503	0.9941394092	0.08397083844
504	0.9941765732	0.08380802012
505	0.9941943349	0.08368420062
506	0.994202017	0.08361526488
507	0.9942399382	0.08347265164
508	0.9942547186	0.08340361895
509	0.9942818502	0.0832599406
510	0.9943076884	0.08315719637
511	0.9943379433	0.08301900355
512	0.994358087	0.08294027222
513	0.9943964814	0.08276440748
514	0.9944371157	0.08261854341
515	0.9944444823	0.08253797471
516	0.9944581901	0.08245508475
517	0.994468396	0.08237031781
518	0.9945001495	0.08223746599
519	0.9945308461	0.08206539959
520	0.9945602019	0.08188482345
521	0.9945680417	0.08183078505
522	0.9945940849	0.08168056729
523	0.9946281572	0.08151692419
524	0.9946559986	0.08140065146
525	0.9946812531	0.08129832733
526	0.9946825624	0.08126387231
527	0.9947331661	0.081054674
528	0.994742741	0.08095671393
529	0.9947843691	0.08080478293
530	0.9948050491	0.08066803208
531	0.9948175581	0.08057823183
532	0.9948409828	0.0804628675
533	0.9948456677	0.08040923454
534	0.9948790932	0.08026357612
535	0.9949098529	0.08013493226
536	0.9949264789	0.0800660018
537	0.9949334038	0.07999733844
538	0.9949567181	0.07988715534
539	0.9949694479	0.07978197521
540	0.9949952703	0.07966365862
541	0.9950273077	0.07950792868
542	0.9950391226	0.07944928943
543	0.9950516157	0.07937868493
544	0.9950590138	0.0792945536
545	0.9950716174	0.07921237917
546	0.9950956258	0.07908306776
547	0.9951219845	0.0789654738
548	0.9951444627	0.07883764897
549	0.9951665624	0.07873127244
550	0.9951702693	0.07865451953
551	0.9951794814	0.07859286634
552	0.995191596	0.07850064055
553	0.9952176077	0.07833978285
554	0.9952250531	0.07827560334
555	0.9952270722	0.07825192483
556	0.9952561283	0.07810794874
557	0.9952626588	0.07804109761
558	0.9952751047	0.07797418713
559	0.9952877083	0.07790338592
560	0.9953102181	0.07778209488
561	0.9953181367	0.0777373467
562	0.9953535183	0.07756694084
563	0.9953646548	0.07750754685
564	0.9953803029	0.07740742852
565	0.9953935374	0.07735371753
566	0.995415574	0.07723920312
567	0.9954374213	0.07710099971
568	0.9954443461	0.07705192602
569	0.9954657044	0.07693852323
570	0.9954807688	0.07684918531
571	0.9954913375	0.07676605812
572	0.9954968742	0.07670264321
573	0.9955136422	0.0766196869
574	0.9955347323	0.07652812921
575	0.9955489291	0.07646714481
576	0.9955645929	0.07635735165
577	0.9955688993	0.07630915342
578	0.9955897843	0.07619453008
579	0.9955943588	0.07616500475
580	0.9956119944	0.07606760797
581	0.9956266644	0.07597252561
582	0.9956389367	0.07590358304
583	0.9956575503	0.07575201809
584	0.9956694441	0.07570094169
585	0.9956821581	0.07561994746
586	0.9957181864	0.07542939723
587	0.9957399705	0.07529264174
588	0.9957648465	0.07515830497
589	0.9957883343	0.07506100179
590	0.9958325809	0.0747970038
591	0.99585039	0.07474057787
592	0.9958607536	0.07466793316
593	0.9958848093	0.07457764677
594	0.995894889	0.07451119473
595	0.9959144806	0.07440913904
596	0.9959303021	0.07432625041
597	0.9959341668	0.07428236023
598	0.9959431423	0.07419359468
599	0.9959548152	0.07410831668
600	0.9959705737	0.07401772395
601	0.9959793283	0.07393669632
602	0.9959927995	0.07385174628
603	0.9960011756	0.07378567427
604	0.9960242533	0.07369171725
605	0.9960483878	0.07355543801
606	0.9960748727	0.07340897324
607	0.9960960417	0.0732960876
608	0.9961103016	0.07321614111
609	0.996118867	0.0731515521
610	0.9961363448	0.07309075562
611	0.9961406827	0.0730231987
612	0.9961490273	0.07297056064
613	0.9961635868	0.07289873988
614	0.9961876583	0.07274928897
615	0.9962130548	0.07262564666
616	0.9962288605	0.07252565134
617	0.9962507867	0.07242173111
618	0.996268091	0.07233009364
619	0.9962962795	0.07222519856
620	0.9963030466	0.07216919339
621	0.9963046713	0.07210347447
622	0.996314199	0.07203761899
623	0.9963211712	0.07196178953
624	0.9963346581	0.07188105826
625	0.9963564896	0.07174702544
626	0.9963854511	0.07159140541
627	0.9963959567	0.07149435806
628	0.9964010833	0.07142110066
629	0.9964152485	0.07133791397
630	0.9964235773	0.0712558105
631	0.9964306284	0.07117988057
632	0.9964532644	0.07105638384
633	0.9964613565	0.07098610307
634	0.9964734711	0.07092707842
635	0.9964859328	0.07082730475
636	0.9965125281	0.07072553863
637	0.9965368834	0.07058581944
638	0.9965443604	0.07053146837
639	0.996553541	0.07041531516
640	0.9965581313	0.07035742442
641	0.9965648353	0.07031516973
642	0.9965692679	0.07023683793
643	0.9965804833	0.0701377053
644	0.9965902476	0.07003976592
645	0.9965966992	0.06998536558
646	0.996609429	0.06987401845
647	0.9966185781	0.06979191171
648	0.9966384693	0.06967930473
649	0.9966479181	0.0696157331
650	0.996657777	0.06956459426
651	0.996667904	0.0694984531
652	0.9966961871	0.06936224015
653	0.9967030016	0.06930549909
654	0.996721347	0.06918424482
655	0.9967343292	0.06905701123
656	0.9967430208	0.0689660672
657	0.9967549461	0.06884907589
658	0.9967693321	0.06874497954
659	0.9967846647	0.06866634665
660	0.9968001076	0.06855907471
661	0.9968064488	0.06850863418
662	0.9968123957	0.06846218929
663	0.9968291637	0.06836458612
664	0.996838155	0.0683209828
665	0.9968501749	0.0682039395
666	0.9968638512	0.06810707341
667	0.9968694984	0.06800222387
668	0.9968731264	0.0679683216
669	0.9968959675	0.06785313092
670	0.9969043436	0.06778220774
671	0.9969039019	0.06776092885
672	0.9969141709	0.06770945459
673	0.9969144075	0.06766173715
674	0.9969336205	0.067482159
675	0.9969381161	0.06744794737
676	0.9969456404	0.0673619685
677	0.9969482274	0.06732122435
678	0.9969556255	0.06721273569
679	0.9969672196	0.06713113223
680	0.9969671091	0.06709749814
681	0.9969729456	0.06705286091
682	0.9969891457	0.06691475473
683	0.9970056298	0.06679298322
684	0.9970163562	0.066723649
685	0.9970523214	0.06654021949
686	0.9970594671	0.06648529042
687	0.9970742318	0.06638008008
688	0.997088255	0.06629170157
689	0.9970992023	0.06621658889
690	0.9971102601	0.06613777996
691	0.9971430389	0.06590148176
692	0.9971664005	0.06576679276
693	0.9971720634	0.06572992633
694	0.9971842726	0.0656559332
695	0.9971951253	0.06557146329
696	0.9972160892	0.06542824123
697	0.9972427792	0.06529119017
698	0.9972514865	0.06523719453
699	0.9972655887	0.06514641971
700	0.9972964272	0.06498994189
701	0.9973068382	0.06491469021
702	0.9973133372	0.06485098209
703	0.9973293796	0.06475742922
704	0.9973393015	0.06467968706
705	0.9973522206	0.06458355025
706	0.9973667171	0.06446952807
707	0.9973726009	0.06440852974
708	0.997386356	0.0642979017
709	0.9973895582	0.0642330003
710	0.9974016412	0.0641486783
711	0.9974099384	0.06406535335
712	0.997410806	0.06400933828
713	0.9974129355	0.0639547256
714	0.9974223054	0.06388944184
715	0.9974320223	0.06382120595
716	0.9974381269	0.06377320545
717	0.9974574661	0.06362665893
718	0.9974754014	0.06351675484
719	0.9974818373	0.06342803737
720	0.997500372	0.06331500234
721	0.9975079909	0.06326627615
722	0.9975141428	0.06319545889
723	0.9975223297	0.06312790909
724	0.9975393973	0.0630359053
725	0.9975449499	0.06296533112
726	0.9975499187	0.06289270051
727	0.9975658822	0.06277030276
728	0.9975722235	0.06269469699
729	0.9975921778	0.0625485739
730	0.9975990712	0.06245581663
731	0.9976100342	0.06235783659
732	0.9976133153	0.06232672767
733	0.9976177636	0.06227121301
734	0.9976268811	0.06219303125
735	0.9976386486	0.06208595135
736	0.9976472456	0.06203211326
737	0.9976499588	0.06198537435
738	0.9976624992	0.06189878847
739	0.9976773743	0.06179630823
740	0.9976963034	0.06166057718
741	0.9977050265	0.06157979875
742	0.9977070456	0.0615400176
743	0.9977107368	0.06148937182
744	0.9977247916	0.0613589928
745	0.9977313379	0.06126816711
746	0.9977350921	0.06121525205
747	0.9977456135	0.06113013575
748	0.9977510083	0.06106980594
749	0.9977561665	0.06101473576
750	0.997754873	0.06099380907
751	0.9977779664	0.06084494725
752	0.997788267	0.06075905479
753	0.9977969744	0.06064962767
754	0.9978008706	0.06058848305
755	0.9978165659	0.06047800164
756	0.9978246739	0.06042002513
757	0.9978314252	0.06037468677
758	0.997848209	0.06023921995
759	0.9978574527	0.06016019159
760	0.9978675797	0.06009636081
761	0.9978764133	0.06005142515
762	0.9978802306	0.05995955966
763	0.9978821866	0.05990193015
764	0.9978876603	0.05984430918
765	0.9978906731	0.05981576393
766	0.9978957209	0.0597622224
767	0.9979006267	0.05972615435
768	0.9979181676	0.05956929396
769	0.9979207861	0.05951555854
770	0.9979223004	0.0594727338
771	0.99794287	0.05932113003
772	0.9979479966	0.05927769037
773	0.9979587704	0.05921657708
774	0.9979671938	0.05913547151
775	0.9979754437	0.05908466362
776	0.9979848767	0.05898588155
777	0.9979911548	0.05893575482
778	0.998002181	0.05885632102
779	0.9980117717	0.05878743709
780	0.9980175766	0.05871047041
781	0.9980367423	0.05857922566
782	0.9980563339	0.0584723773
783	0.9980648835	0.05838484701
784	0.9980827083	0.05825407668
785	0.9980986876	0.05809164601
786	0.9981055809	0.05803722562
787	0.9981067009	0.05800337739
788	0.9981138308	0.05790657716
789	0.998115424	0.0578826405
790	0.9981327757	0.05780058559
791	0.9981345266	0.05774203196
792	0.9981380916	0.05766982574
793	0.9981539604	0.05752673359
794	0.998170476	0.05741371429
795	0.9981745931	0.0573573591
796	0.9981756026	0.05732669133
797	0.9981937587	0.05719227689
798	0.9982027027	0.05708358236
799	0.9982099431	0.05700273773
800	0.9982132399	0.05694565247
801	0.9982221996	0.05684413554
802	0.9982377215	0.05676921351
803	0.9982410656	0.05672077497
804	0.9982424379	0.05666574568
805	0.9982483848	0.05660888439
806	0.9982514292	0.05656047953
807	0.9982629286	0.05647456553
808	0.9982762578	0.05633858828
809	0.9982881043	0.05624726569
810	0.9982982944	0.05617407482
811	0.998298389	0.05611886699
812	0.9983049038	0.05604255298
813	0.9983194634	0.05595147025
814	0.9983277291	0.0558959096
815	0.9983331712	0.05583708472
816	0.9983435664	0.05573829851
817	0.9983454593	0.0557037425
818	0.9983562015	0.05563484862
819	0.9983592775	0.05561579468
820	0.9983682688	0.05556035228
821	0.9983754934	0.05550117471
822	0.9983763452	0.05546893198
823	0.9983801783	0.05543486028
824	0.9983894693	0.05533206374
825	0.9983916777	0.05528095921
826	0.9983989023	0.0551908873
827	0.998400669	0.05511950475
828	0.9984038396	0.05505881634
829	0.9984090924	0.05497755507
830	0.998410102	0.05494031483
831	0.9984205761	0.05487400498
832	0.9984316969	0.05474132291
833	0.9984347571	0.05468994641
834	0.9984392685	0.05463371875
835	0.9984416031	0.05460196209
836	0.9984434644	0.0545737727
837	0.9984431016	0.05453803274
838	0.9984533391	0.05446328613
839	0.9984555632	0.05442774461
840	0.9984710693	0.0543008686
841	0.9984773159	0.05423752994
842	0.9984809755	0.05419722658
843	0.9984828842	0.05415111366
844	0.9984844774	0.05412380035
845	0.9984890677	0.05407969208
846	0.9984954247	0.05400317111
847	0.9984983271	0.05394733332
848	0.9985064824	0.05387464889
849	0.9985135492	0.0537849593
850	0.9985158207	0.05375234915
851	0.9985167829	0.05371780003
852	0.9985235185	0.05369061678
853	0.998526279	0.0536485389
854	0.998534592	0.05356062696
855	0.9985408071	0.0535061947
856	0.9985541678	0.05336234604
857	0.9985635692	0.05328205888
858	0.998564074	0.05325596499
859	0.9985652097	0.05323462616
860	0.9985751159	0.05316132859
861	0.9985779395	0.05310207996
862	0.9985889184	0.05302521721
863	0.998592231	0.05298807354
864	0.9986021845	0.0528695645
865	0.9986059387	0.05282338945
866	0.998608226	0.05278781587
867	0.9986098034	0.0527227072
868	0.9986092829	0.05268374128
869	0.9986104659	0.05265659076
870	0.9986102767	0.05264591966
871	0.9986169491	0.05258700747
872	0.9986226594	0.05254196322
873	0.9986338906	0.05243735009
